node_id,lat,lon
1804086971,-23.4637913,-46.6820361
1804086972,-23.4637999,-46.6956845
1804086975,-23.463843,-46.6983359
1804086997,-23.4639365,-46.6826543
1804087003,-23.4640226,-46.6981878
1804087005,-23.4639869,-46.6831029
1804087009,-23.464032,-46.6803078
1804087016,-23.464254,-46.6955054
1804087034,-23.4644531,-46.6892338
1804087036,-23.4644802,-46.6931666
1804087044,-23.4645208,-46.698533
1804087047,-23.4644931,-46.6891714
1804087054,-23.4646052,-46.6940897
1804087074,-23.4649585,-46.696376
1804087076,-23.4647595,-46.6850205
1804087081,-23.4648263,-46.6951496
1804087083,-23.4648979,-46.6906721
1804087090,-23.4648306,-46.6887775
1804087091,-23.4649078,-46.6796857
1804087107,-23.4650744,-46.697676
1804087113,-23.4650277,-46.6834778
1804087119,-23.4652811,-46.6833195
1804087125,-23.4653002,-46.6823539
1804087130,-23.4653265,-46.6854416
1804087144,-23.4655345,-46.6832471
1804087174,-23.4656784,-46.6981521
1804087181,-23.4642782,-46.6841497
1804087184,-23.465836,-46.6979953
1804087186,-23.4657996,-46.6821722
1804087188,-23.4658373,-46.6848019
1804087202,-23.4659342,-46.6985383
1804087203,-23.4662523,-46.6829474
1804087205,-23.4659899,-46.6875143
1804087206,-23.4659097,-46.6853157
1804087208,-23.4660044,-46.6944479
1804087210,-23.4656754,-46.6832089
1804087232,-23.4662335,-46.6937691
1804087235,-23.4662478,-46.6944376
1804087241,-23.4662456,-46.6990068
1804087246,-23.4664802,-46.6953684
1804087247,-23.4664264,-46.6818134
1804087250,-23.4664371,-46.6933661
1804087251,-23.4665002,-46.6841497
1804087253,-23.4664517,-46.6890508
1804087257,-23.4665224,-46.6805246
1804087268,-23.4666301,-46.6986863
1804087269,-23.4666902,-46.6930104
1804087280,-23.4668594,-46.6946988
1804087284,-23.4669339,-46.6926368
1804087290,-23.4670096,-46.6907868
1804087292,-23.4670304,-46.6893102
1804087296,-23.4670575,-46.6943353
1804087300,-23.467103,-46.696756
1804087302,-23.4670758,-46.6791411
1804087319,-23.4672728,-46.6939558
1804087335,-23.4675376,-46.6952351
1804087343,-23.4675053,-46.6935776
1804087346,-23.46752,-46.6810155
1804087354,-23.4675703,-46.6895573
1804087359,-23.4675815,-46.691515
1804087364,-23.4677119,-46.6978557
1804087366,-23.4677452,-46.6931994
1804087373,-23.4677771,-46.6815466
1804087382,-23.4679137,-46.6967399
1804087388,-23.4678153,-46.6948986
1804087389,-23.4678042,-46.6800566
1804087393,-23.4678596,-46.6801062
1804087394,-23.4678952,-46.6948376
1804087401,-23.4680047,-46.6838412
1804087407,-23.4679571,-46.6947733
1804087417,-23.468129,-46.6807419
1804087420,-23.4681696,-46.6916505
1804087435,-23.4682249,-46.6842891
1804087444,-23.4683274,-46.6922315
1804087452,-23.4683411,-46.6946215
1804087457,-23.4684144,-46.6845909
1804087474,-23.4685279,-46.6937606
1804087476,-23.4686204,-46.6798749
1804087488,-23.4686524,-46.6850388
1804087496,-23.4686444,-46.6826785
1804087498,-23.4687205,-46.697467
1804087500,-23.4687976,-46.6853406
1804087502,-23.4689292,-46.694389
1804087506,-23.468832,-46.691464
1804087515,-23.4690325,-46.6826992
1804087526,-23.469039,-46.6959014
1804087527,-23.4690553,-46.6866005
1804087529,-23.4690433,-46.6826156
1804087533,-23.469198,-46.6893672
1804087534,-23.4690977,-46.685649
1804087535,-23.4691067,-46.6927796
1804087545,-23.4692103,-46.6861955
1804087546,-23.4692699,-46.6943163
1804087548,-23.4692886,-46.6820148
1804087550,-23.4693279,-46.6887701
1804087552,-23.4694188,-46.6830392
1804087556,-23.4694587,-46.6859722
1804087559,-23.4694742,-46.6788027
1804087560,-23.4694335,-46.6802078
1804087566,-23.4696258,-46.6918999
1804087567,-23.4696749,-46.6803615
1804087569,-23.4696889,-46.6863809
1804087575,-23.469865,-46.6834413
1804087577,-23.4698957,-46.6791658
1804087586,-23.4700502,-46.6870455
1804087588,-23.47005,-46.6934453
1804087591,-23.4701477,-46.680655
1804087592,-23.4701637,-46.6909967
1804087595,-23.470299,-46.6838442
1804087596,-23.4702842,-46.6795771
1804087599,-23.4703292,-46.684403
1804087601,-23.4704399,-46.6849738
1804087603,-23.4704268,-46.6877835
1804087605,-23.4705371,-46.6854885
1804087608,-23.4704843,-46.6823017
1804087610,-23.47058,-46.6843527
1804087612,-23.4706246,-46.6925866
1804087613,-23.4706319,-46.6800463
1804087614,-23.4706654,-46.6896599
1804087616,-23.4707831,-46.6901049
1804087629,-23.4707701,-46.6827547
1804087635,-23.4710204,-46.683194
1804087639,-23.471067,-46.6852737
1804087646,-23.4710577,-46.6810009
1804087650,-23.471233,-46.6835606
1804087652,-23.4713715,-46.6918549
1804087655,-23.4715067,-46.6820331
1804087662,-23.4717239,-46.6887257
1804087666,-23.4719021,-46.6889942
1804087669,-23.4719693,-46.6829284
1804087670,-23.4720651,-46.6903338
1804087681,-23.4728974,-46.690536
1804157865,-23.4531901,-46.6974601
1804157877,-23.4548634,-46.6968627
1804157880,-23.4537967,-46.6968155
1804157888,-23.4554968,-46.697413
1804157896,-23.4557652,-46.6928642
1804157900,-23.4559017,-46.6945814
1804157906,-23.456132,-46.6936858
1804157908,-23.4560278,-46.6962773
1804157919,-23.4564514,-46.6952436
1804157923,-23.4564656,-46.6966474
1804157925,-23.4565126,-46.6914332
1804157927,-23.4577966,-46.698146
1804157941,-23.4569856,-46.6940577
1804157976,-23.4576601,-46.69249
1804158013,-23.4582374,-46.6910423
1804158021,-23.4585241,-46.6991398
1804158049,-23.4587603,-46.6915091
1804158050,-23.4587238,-46.6991122
1804158058,-23.4589199,-46.6929799
1804158085,-23.4593468,-46.6985825
1804158099,-23.4594553,-46.6984459
1804158108,-23.4594629,-46.6934375
1804158114,-23.4596733,-46.6949148
1804158137,-23.4599425,-46.6977618
1804158149,-23.460148,-46.6953015
1804158159,-23.4602491,-46.6941356
1804158161,-23.4610446,-46.6934729
1804158189,-23.4605591,-46.6913424
1804158195,-23.4606185,-46.6867077
1804158209,-23.4606798,-46.6931682
1804158216,-23.460802,-46.6945759
